索引	类别	原始问	英语	分词
8374	renters-insurance	标准租赁保险是什么？	What  Does  Standard  Renters  Insurance  Cover?	标准 租赁 保险 是 什么
8375	annuities	什么公司买年金？	What  Companies  Buy  Annuities?	什么 公司 买 年金
8376	medicare-insurance	什么是Molina Medicare？	What  Is  Molina  Medicare?	什么 是 Molina Medicare
8377	life-insurance	有人寿保险所得税吗？	Is  There  Income  Tax  On  Life  Insurance?	有 人寿保险 所得税
8378	renters-insurance	租客保险是否覆盖屋顶泄漏？	Does  Renters  Insurance  Cover  Roof  Leaks?	租客 保险 是否 覆盖 屋顶 泄漏
8379	medicare-insurance	什么是Medigap计划？	What  Is  The  Medigap  Plan?	什么 是 Medigap 计划
8380	health-insurance	雇主为什么要提供健康保险？	Why  Should  Employers  Offer  Health  Insurance?	雇主 为什么 要 提供 健康 保险
8381	health-insurance	Obamacare何时生效？	When  Does  Obamacare  Take  Effect?	Obamacare 何时 生效
8382	annuities	为什么要投资年金？	Why  Should  I  Invest  In  Annuities?	为什么 要 投资 年金
8383	health-insurance	美国有多少健康保险公司？	How  Many  Health  Insurance  Companies  Are  There  In  The  US?	美国 有 多少 健康 保险公司
8384	life-insurance	什么是人寿保险股权？	What  Is  Life  Insurance  Equity?	什么 是 人寿保险 股权
8385	life-insurance	在哪里购买定期人寿保险？	Where  To  Shop  For  Term  Life  Insurance?	在 哪里 购买 定期 人寿保险
8386	life-insurance	什么是分级福利全人寿保险？	What  Exactly  Is  A  Graded  Benefit  Whole  Life  Insurance?	什么 是 分级 福利 全 人寿保险
8387	medicare-insurance	医疗保险B部分封面Xeloda？	Does  Medicare  Part  B  Cover  Xeloda?	医疗保险 B 部分 封面 Xeloda
8388	life-insurance	人寿保险政策是否意味着什么？	What  Does  It  Mean  For  A  Life  Insurance  Policy  To  Be  Paid  Up?	人寿保险 政策 是否 意味着 什么
8389	life-insurance	我应该服用15年的人寿保险吗？	Should  I  Take  A  15  Years  Term  Life  Insurance?	我 应该 服用 15 年 人寿保险
8390	life-insurance	人寿保险现金价值应纳税所得额	Is  Life  Insurance  Cash  Value  Taxable  Income?	人寿保险 现金 价值 应纳税 所得额
8391	life-insurance	何时应付全人寿保险？	When  Should  You  Cash  Out  A  Whole  Life  Insurance  Policy?	何时 应付全 人寿保险
8392	auto-insurance	我们18岁的儿子应该有自己的汽车保险吗？	Should  Our  18  Year  Old  Son  Have  His  Own  Car  Insurance  Policy?	我们 18 岁 儿子 应该 有 自己 汽车保险
8393	medicare-insurance	什么是医疗保险药物利益？	What  Is  The  Medicare  Drug  Benefit?	什么 是 医疗保险 药物 利益
8394	disability-insurance	什么是残疾保险计划？	What  Are  Disability  Insurance  Programs?	什么 是 残疾 保险 计划
8395	life-insurance	什么是长期人寿保险？	What  Is  The  Longest  Term  Life  Insurance?	什么 是 长期 人寿保险
8396	life-insurance	如何购买人寿保险？	How  Do  I  Buy  Life  Insurance?	如何 购买 人寿保险
8397	life-insurance	您能否兑现格柏人寿保险计划？	Can  You  Cash  Out  A  Gerber  Life  Insurance  Plan?	您 能否 兑现 格 柏 人寿保险 计划
8398	life-insurance	伊斯兰教期间允许的人寿保险？	Is  Term  Life  Insurance  Allowed  In  Islam?	伊斯兰教 期间 允许 人寿保险
8399	disability-insurance	我应该注册长期残疾保险吗？	Should  I  Enroll  In  Long  Term  Disability  Insurance?	我 应该 注册 长期 残疾 保险
8400	renters-insurance	租客保险是否覆盖电涌？	Does  Renters  Insurance  Cover  Electrical  Surges?	租客 保险 是否 覆盖 电涌
8401	medicare-insurance	补充医疗保险费用多少？	How  Much  Does  Supplemental  Medicare  Insurance  Cost?	补充 医疗 保险费用 多少
8402	health-insurance	健康保险是否涵盖个人培训？	Does  Health  Insurance  Cover  Personal  Training?	健康 保险 是否 涵盖 个人 培训
8403	life-insurance	人寿保险是否考虑个人的BMI？	Does  Life  Insurance  Consider  A  Person's  BMI?	人寿保险 是否 考虑 个人 BMI
8404	medicare-insurance	生命能否成为医疗保险的主要保险？	Can  Tricare  For  Life  Be  Primary  Insurance  To  Medicare?	生命 能否 成为 医疗保险 主要 保险
8405	auto-insurance	就业状况如何影响汽车保险？	How  Does  Employment  Status  Affect  Car  Insurance?	就业 状况 如何 影响 汽车保险
8406	health-insurance	哪个健康保险比较好Hmo还是Ppo？	Which  Health  Insurance  Is  Better  Hmo  Or  Ppo?	哪个 健康 保险 比较 好 Hmo 还是 Ppo
8407	life-insurance	什么是购买人寿保险而不是年金的最佳理由？	What  Is  The  Best  Reason  To  Purchase  Life  Insurance  Rather  Than  Annuities?	什么 是 购买 人寿保险 而 不是 年金 最佳 理由
8408	disability-insurance	为什么要购买残疾保险？	Why  Should  You  Purchase  Disability  Insurance?	为什么 要 购买 残疾 保险
8409	life-insurance	人寿保险是否涵盖安乐死？	Does  Life  Insurance  Cover  Euthanasia?	人寿保险 是否 涵盖 安乐死
8410	renters-insurance	哪里可以找租车保险报价？	Where  To  Get  Renters  Insurance  Quote?	哪里 可以 找 租车 保险 报价
8411	health-insurance	亚利桑那每个月的健康保险多少？	How  Much  Is  Health  Insurance  Per  Month  In  Arizona?	亚利桑那 每个 月 健康 保险 多少
8412	medicare-insurance	什么是Medigap计划？	What  Are  The  Medigap  Plans?	什么 是 Medigap 计划
8413	life-insurance	社会保障考试中包含的人寿保险政策收入？	Is  Income  From  A  Life  Insurance  Policy  Includable  For  The  Social  Security  Test?	社会保障 考试 中 包含 人寿保险 政策 收入
8414	long-term-care-insurance	长期护理保险的价格是多少？	What  Is  The  Price  For  Long  Term  Care  Insurance?	长期 护理 保险 价格 是 多少
8415	home-insurance	什么是最负担得起的家庭保险？	What  Is  The  Most  Affordable  Home  Insurance?	什么 是 最 负担得起 家庭 保险
8416	renters-insurance	关于租金每月多少保险？	About  How  Much  Is  Renters  Insurance  Per  Month?	关于 租金 每月 多少 保险
8417	health-insurance	在健康保险计划中要寻找什么？	What  To  Look  For  In  A  Good  Health  Insurance  Plan?	在 健康 保险 计划 中 要 寻找 什么
8418	health-insurance	为什么健康保险费率上涨？	Why  Will  Health  Insurance  Rates  Go  Up?	为什么 健康 保险费率 上涨
8419	life-insurance	人寿保险为殡葬付钱吗？	Will  Life  Insurance  Pay  For  Funerals?	人寿保险 为 殡葬 付钱
8420	auto-insurance	汽车玻璃是否涵盖保险？	Is  Auto  Glass  Covered  By  Insurance?	汽车玻璃 是否 涵盖 保险
8421	auto-insurance	汽车保险公司如何确定利率？	How  Do  Auto  Insurance  Companies  Determine  Rates?	汽车 保险公司 如何 确定 利率
8422	annuities	什么意思在减税年金中有钱？	What  Does  It  Mean  To  Have  Money  In  A  Tax  Deferred  Annuity?	什么 意思 在 减税 年金 中 有钱
8423	disability-insurance	谁有最佳短期残疾保险？	Who  Has  The  Best  Short  Term  Disability  Insurance?	谁 有 最佳 短期 残疾 保险
8424	home-insurance	屋主保险盖屋顶从雪塌下来？	Does  Homeowners  Insurance  Cover  Roof  Collapse  From  Snow?	屋主 保险 盖 屋顶 从 雪 塌下来
8425	medicare-insurance	什么是Aarp Medigap保险？	What  Is  Aarp  Medigap  Insurance?	什么 是 Aarp Medigap 保险
8426	renters-insurance	什么是租赁保险？	What  Is  Renters  Insurance  Cover?	什么 是 租赁 保险
8427	long-term-care-insurance	如何决定是否购买长期护理保险？	How  To  Decide  Whether  To  Buy  Long  Term  Care  Insurance?	如何 决定 是否 购买 长期 护理 保险
8428	retirement-plans	什么是401K和Roth IRA之间的相似之处？	What  Are  The  Similarities  Between  401K  And  Roth  IRA?	什么 是 401 K 和 Roth IRA 之间 相似之处
8429	disability-insurance	如何填补残疾保险福利的索赔？	How  To  Fill  Out  Claim  For  Disability  Insurance  Benefits?	如何 填补 残疾 保险 福利 索赔
8430	annuities	在什么年龄你应该买年金？	At  What  Age  Should  You  Buy  Annuities?	在 什么 年龄 你 应该 买 年金
8431	life-insurance	什么是禧年全寿险？	What  Is  Jubilee  Whole  Life  Insurance?	什么 是 禧 年 全寿 险
8432	life-insurance	如何购买其他人寿保险？	How  To  Buy  Other  Peoples  Life  Insurance?	如何 购买 其他 人寿保险
8433	life-insurance	谁是人寿保险政策的政策所有者？	Who  Is  Policy  Owner  Of  A  Life  Insurance  Policy?	谁 是 人寿保险 政策 政策 所有者
8434	long-term-care-insurance	什么长期护理保险是最好的？	What  Long  Term  Care  Insurance  Is  The  Best?	什么 长期 护理 保险 是 最好
8435	life-insurance	人寿保险是否涵盖水肺潜水？	Does  Life  Insurance  Cover  Scuba  Diving?	人寿保险 是否 涵盖 水肺 潜水
8436	auto-insurance	NH需要汽车保险吗？	Is  Car  Insurance  Required  In  NH?	NH 需要 汽车保险
8437	health-insurance	值得健康保险吗？	Is  It  Worth  Having  Health  Insurance?	值得 健康 保险
8438	life-insurance	什么是最佳人寿保险？	What  Is  The  Best  Life  Insurance  To  Purchase?	什么 是 最佳 人寿保险
8439	medicare-insurance	医疗保险在家里支付医院病床吗？	Will  Medicare  Pay  For  A  Hospital  Bed  In  The  Home?	医疗保险 在 家里 支付 医院 病床
8440	renters-insurance	在哪里买租赁保险？	Where  To  Buy  Renters  Insurance?	在 哪里买 租赁 保险
8441	long-term-care-insurance	如何获得长期护理保险资格？	How  To  Qualify  For  Long  Term  Care  Insurance?	如何 获得 长期 护理 保险 资格
8442	auto-insurance	租车时是否包括保险？	Is  Insurance  Included  When  You  Lease  A  Car?	租车 时 是否 包括 保险
8443	home-insurance	家庭保险是否覆盖笔记本电脑损坏？	Does  Home  Insurance  Cover  Laptop  Damage?	家庭 保险 是否 覆盖 笔记本电脑 损坏
8444	health-insurance	HMO在健康保险中的作用是什么？	What  Does  HMO  Stand  For  In  Health  Insurance?	HMO 在 健康 保险 中的 作用 是 什么
8445	life-insurance	人寿保险是什么？	What  Does  Life  Insurance  Protect  Against?	人寿保险 是 什么
8446	life-insurance	如何在宾夕法尼亚州网上获得人寿保险？	How  Can  I  Get  Life  Insurance  Online  In  Pennsylvania?	如何 在 宾夕法尼亚州 网上 获得 人寿保险
8447	life-insurance	人寿保险是否影响财政援助？	Does  Life  Insurance  Affect  Financial  Aid?	人寿保险 是否 影响 财政 援助
8448	home-insurance	房主保险与水池有关吗？	Does  Homeowners  Insurance  Go  Up  With  A  Pool?	房主 保险 与 水池 有关
8449	auto-insurance	一辆车可以停在没有保险的道路上吗？	Can  A  Car  Be  Parked  On  The  Road  With  No  Insurance?	一 辆车 可以 停 在 没有 保险 道路 上
8450	home-insurance	我的家庭保险是否覆盖我的屋顶？	Does  My  Home  Insurance  Cover  My  Roof?	我 家庭 保险 是否 覆盖 我 屋顶
8451	retirement-plans	我应该得到什么样的退休计划？	What  Kind  Of  Retirement  Plan  Should  I  Get?	我 应该 得到 什么样 退休 计划
8452	life-insurance	人寿保险可以放在哪里？	Can  Life  Insurance  Be  Cashed  In?	人寿保险 可以 放在 哪里
8453	disability-insurance	残疾保险什么时候开始？	When  Does  Disability  Insurance  Start?	残疾 保险 什么 时候 开始
8454	auto-insurance	您可以获得暂停执照的汽车保险吗？	Can  You  Get  Auto  Insurance  With  A  Suspended  License?	您 可以 获得 暂停 执照 汽车保险
8455	health-insurance	什么是最低廉的健康保险计划？	What  Is  The  Least  Expensive  Health  Insurance  Plan?	什么 是 最 低廉 健康 保险 计划
8456	life-insurance	我可否在附表C扣除人寿保险？	Can  I  Deduct  Life  Insurance  On  Schedule  C?	我 可否 在 附表 C 扣除 人寿保险
8457	auto-insurance	当汽车付费时，汽车保险是否便宜？	Is  Car  Insurance  Cheaper  When  The  Car  Is  Paid  Off?	当 汽车 付费 时 汽车保险 是否 便宜
8458	retirement-plans	什么是9月退休计划？	What  Is  Sep  Retirement  Plan?	什么 是 9月 退休 计划
8459	home-insurance	房主什么时候可以扣税？	When  Is  Homeowners  Insurance  Deductible  On  Taxes?	房主 什么 时候 可以 扣税
8460	auto-insurance	全年覆盖汽车保险18岁？	How  Much  Is  Full  Coverage  Auto  Insurance  For  An  18  Year  Old?	全年 覆盖 汽车保险 18 岁
8461	medicare-insurance	医疗保险支付鼻整形术吗？	Will  Medicare  Pay  For  Rhinoplasty?	医疗保险 支付 鼻 整形术
8462	health-insurance	当你超重时如何获得健康保险？	How  To  Get  Health  Insurance  When  You  Are  Overweight?	当 你 超重 时 如何 获得 健康 保险
8463	health-insurance	5年前我刚从脊医那里收到了一张帐单。我必须合法支付吗？	I  just  got  a  bill  from  my  Chiropractor  from  5  years  ago.  Do  I  have  to  legally  pay  for  this?	5 年前 我 刚 从 脊 医 那里 收到 一 张 帐单 我 必须 合法 支付
8464	auto-insurance	为什么我的汽车保险费用如此之多？	Why  Does  My  Car  Insurance  Cost  So  Much?	为什么 我 汽车 保险费用 如此 之 多
8465	renters-insurance	租客保险是否涵盖破坏行为？	Does  Renters  Insurance  Cover  Vandalism?	租客 保险 是否 涵盖 破坏 行为
8466	retirement-plans	我应该为退休计划做出多少贡献？	How  Much  Should  I  Contribute  To  Retirement  Plan?	我 应该 为 退休 计划 做出 多少 贡献
8467	life-insurance	我知道在没有原始所有者许可的情况下已经拥有生命保险政策的人，这是合法的吗？	I  know  a  person  who  has  taken  ownership  of  a  life  ins  policy  without  the  original  owners  permission,  is  this  legal?	我 知道 在 没有 原始 所有者 许可 情况下 已经 拥有 生命保险 政策 人 这 是 合法
8468	renters-insurance	为什么租户需要租赁保险？	Why  Do  Renters  Need  Renters  Insurance?	为什么 租户 需要 租赁 保险
8469	home-insurance	受到房主保险涵盖的冰坝的损害？	Is  Damage  From  Ice  Dams  Covered  By  Homeowners  Insurance?	受到 房主 保险 涵盖 冰坝 损害
8470	auto-insurance	汽车保险何时成为我们的强制？	When  Did  Auto  Insurance  Became  Mandatory  In  The  Us?	汽车保险 何时 成为 我们 强制
8471	medicare-insurance	医疗保险覆盖了楼梯电梯吗？	Is  A  Stair  Lift  Covered  By  Medicare?	医疗保险 覆盖 楼梯 电梯
8472	home-insurance	全州住户保险覆盖什么？	What  Does  Allstate  Home  Owners  Insurance  Cover?	全州 住户 保险 覆盖 什么
